Title,Year,Rated,Released,Actors,Director(s),Plot,Metascore,Poster,Genre
"300",2006,R,09 Mar 2007,"Gerard Butler, Lena Headey, David Wenham","Zack Snyder","In the Battle of Thermopylae of 480 BC an alliance of Greek city-states fought the invading Persian army in the mountain pass of Thermopylae. Vastly outnumbered, the Greeks held back the enemy in one of the most famous last stands of history. Persian King Xerxes led a Army of well over 100,000 (Persian king Xerxes before war has about 170,000 army) men to Greece and was confronted by 300 Spartans, 700 Thespians, and 400 Thebans. Xerxes waited for 10 days for King Leonidas to surrender or withdraw but left with no options he pushed forward. After 3 days of battle all the Greeks were killed. The Spartan defeat was not the one expected, as a local shepherd, named Ephialtes, defected to the Persians and informed Xerxes that the separate path through Thermopylae, which the Persians could use to outflank the Greeks, was not as heavily guarded as they thought.",52,"https://m.media-amazon.com/images/M/MV5BNWMxYTZlOTUtZDExMi00YzZmLTkwYTMtZmM2MmRjZmQ3OGY4XkEyXkFqcGdeQXVyMTAwMzUyMzUy._V1_SX300.jpg","Action, Drama"
"Up",2009,PG,29 May 2009,"Edward Asner, Jordan Nagai, John Ratzenberger","Pete Docter, Bob Peterson","As a boy, Carl Fredricksen wanted to explore South America and find the forbidden Paradise Falls. About 64 years later he gets to begin his journey along with Boy Scout Russell by lifting his house with thousands of balloons. On their journey, they make many new friends including a talking dog, and figure out that someone has evil plans. Carl soon realizes that this evildoer is his childhood idol.",88,"https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg","Animation, Adventure, Comedy"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",2006,R,03 Nov 2006,"Sacha Baron Cohen, Ken Davitian, Luenell","Larry Charles","Borat Sagdiyev is a TV reporter of a popular show in Kazakhstan as Kazakhstan's sixth most famous man and a leading journalist. He is sent from his home to America by his government to make a documentary about American society and culture. Borat takes a course in New York City to understand American humor. While watching Baywatch on TV, Borat discovers how beautiful their women are in the form of C. J. Parker, who was played by actress Pamela Anderson who hails from Malibu, California. He decides to go on a cross-country road trip to California in a quest to make her his wife and take her back to his country. On his journey Borat and his producer encounter a country full of strange and wonderful Americans, real people in real chaotic situations with hysterical consequences.",89,"https://m.media-amazon.com/images/M/MV5BMTk0MTQ3NDQ4Ml5BMl5BanBnXkFtZTcwOTQ3OTQzMw@@._V1_SX300.jpg","Comedy"
"WALL·E",2008,G,27 Jun 2008,"Ben Burtt, Elissa Knight, Jeff Garlin","Andrew Stanton","In a distant, but not so unrealistic, future where mankind has abandoned earth because it has become covered with trash from products sold by the powerful multi-national Buy N Large corporation, WALL-E, a garbage collecting robot has been left to clean up the mess. Mesmerized with trinkets of Earth's history and show tunes, WALL-E is alone on Earth except for a sprightly pet cockroach. One day, EVE, a sleek (and dangerous) reconnaissance robot, is sent to Earth to find proof that life is once again sustainable. WALL-E falls in love with EVE. WALL-E rescues EVE from a dust storm and shows her a living plant he found amongst the rubble. Consistent with her ""directive"", EVE takes the plant and automatically enters a deactivated state except for a blinking green beacon. WALL-E, doesn't understand what has happened to his new friend, but, true to his love, he protects her from wind, rain, and lightning, even as she is unresponsive. One day a massive ship comes to reclaim EVE, but WALL-E, out of love or loneliness, hitches a ride on the outside of the ship to rescue EVE. The ship arrives back at a large space cruise ship, which is carrying all of the humans who evacuated Earth 700 years earlier. The people of Earth ride around this space resort on hovering chairs which give them a constant feed of TV and video chatting. They drink all of their meals through a straw out of laziness and/or bone loss, and are all so fat that they can barely move. When the auto-pilot computer, acting on hastily-given instructions sent many centuries before, tries to prevent the people of Earth from returning by stealing the plant, WALL-E, EVE, the portly captain, and a band of broken robots stage a mutiny.",95,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg","Animation, Adventure, Family"
"American Psycho",2000,R,14 Apr 2000,"Christian Bale, Justin Theroux, Josh Lucas","Mary Harron","It's the late 1980s. Twenty-seven year old Wall Streeter Patrick Bateman travels among a closed network of the proverbial beautiful people, that closed network in only they able to allow others like themselves in in a feeling of superiority. Patrick has a routinized morning regimen to maintain his appearance of attractiveness and fitness. He, like those in his network, are vain, narcissistic, egomaniacal and competitive, always having to one up everyone else in that presentation of oneself, but he, unlike the others, realizes that, for himself, all of these are masks to hide what is truly underneath, someone/something inhuman in nature. In other words, he is comprised of a shell resembling a human that contains only greed and disgust, greed in wanting what others may have, and disgust for those who do not meet his expectations and for himself in not being the first or the best. That disgust ends up manifesting itself in wanting to rid the world of those people, he not seeing them as people but only of those characteristics he wants to rid.",64,"https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","Crime, Drama, Horror"
"American History X",1998,R,20 Nov 1998,"Edward Norton, Edward Furlong, Beverly D'Angelo","Tony Kaye","Derek Vineyard is paroled after serving 3 years in prison for brutally killing two black men who tried to break into/steal his truck. Through his brother's, Danny Vineyard, narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",62,"https://m.media-amazon.com/images/M/MV5BZTJhN2FkYWEtMGI0My00YWM4LWI2MjAtM2UwNjY4MTI2ZTQyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_SX300.jpg","Crime, Drama"
"Taken",2008,PG-13,30 Jan 2009,"Liam Neeson, Maggie Grace, Famke Janssen","Pierre Morel","Seventeen year-old Kim is the pride and joy of her father Bryan Mills. Bryan is a retired agent who left the Central Intelligence Agency to be near Kim in California. Kim lives with her mother Lenore and her wealthy stepfather Stuart. Kim manages to convince her reluctant father to allow her to travel to Paris with her friend Amanda. When the girls arrive in Paris they share a cab with a stranger named Peter, and Amanda lets it slip that they are alone in Paris. Using this information an Albanian gang of human traffickers kidnaps the girls. Kim barely has time to call her father and give him information. Her father gets to speak briefly to one of the kidnappers and he promises to kill the kidnappers if they do not let his daughter go free. The kidnapper wishes him ""good luck,"" so Bryan Mills travels to Paris to search for his daughter and her friend.",51,"https://m.media-amazon.com/images/M/MV5BMTM4NzQ0OTYyOF5BMl5BanBnXkFtZTcwMDkyNjQyMg@@._V1_SX300.jpg","Action, Crime, Thriller"
"Final Destination",2000,R,17 Mar 2000,"Devon Sawa, Ali Larter, Kerr Smith","James Wong","Alex is boarding a plane to France on a school trip, when he suddenly gets a premonition that the plane will explode. Shortly after Alex, a group of students, and his teacher are thrown off the plane, to their horror, the plane does in fact explode. Alex must now work out Death's plan, as each of the survivors falls victim. Whilst trying to prevent the next death, Alex must also dodge the FBI, who believe that he caused the explosion.",36,"https://m.media-amazon.com/images/M/MV5BZTI0NGM2OGYtNzVmMi00NGQ2LTk2MDAtN2RmYjIzMGRkZGYxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Horror, Thriller"
"Scream",1996,R,20 Dec 1996,"Neve Campbell, Courteney Cox, David Arquette","Wes Craven","A year after her mother's death, Sidney Prescott (Neve Campbell) and her friends started experiencing some strange phone calls. They later learned the calls were coming from a crazed serial killer, in a white faced mask and a large black robe, looking for revenge. His phone calls usually consist of many questions, the main one being: What's your favorite scary movie? Along with much scary movie trivia, ending with bloody pieces of innocent lives scattered around the small town of Woodsboro.",65,"https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_SX300.jpg","Horror, Mystery"
"Ju-on: The Grudge",2002,R,25 Jan 2003,"Megumi Okina, Misaki Itô, Misa Uehara","Takashi Shimizu","In Japan, when the volunteer social assistant Rika Nishina is assigned to visit a family, she is cursed and chased by two revengeful fiends: Kayako, a woman brutally murdered by her husband and her son Toshio. Each person that lives in or visits the haunted house is murdered or disappears.",48,"https://m.media-amazon.com/images/M/MV5BYjNjMWNhZjctYmQzYS00M2ZmLWEzZTktZTJjZDI0NmM0MmMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Horror"
"Jason X",2001,R,26 Apr 2002,"Kane Hodder, Lexa Doig, Jeff Geddis","James Isaac","In the Year 2008, Jason Vorhees is cryogenically frozen in a Government Facility in Camp Crystal Lake, along with scientist Rowan. Many centuries later, in the year 2455, Earth is uninhabitable, and humans have moved to another planet known as Earth II. However, a team of students awakens both him and Rowan on a spaceship known as the Grendel. Jason begins killing the students and crew of the ship. Along the way, he is upgraded to Uber Jason. It's now up to Rowan and the surviving students to stop Jason, this time on a spaceship.",25,"https://m.media-amazon.com/images/M/MV5BYzc0MDllYjktYzFjZi00OTgwLWJmZWMtODlmMTVlODQyZTgwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Action, Horror, Sci-Fi"
"Saw",2004,R,29 Oct 2004,"Cary Elwes, Leigh Whannell, Danny Glover","James Wan","Waking up in a bathroom, two men, Adam and Dr. Lawrence Gordon, discover they have been captured by the infamous Jigsaw Killer. The men must escape before time runs out, otherwise, they will face the deadly consequences.",46,"https://m.media-amazon.com/images/M/MV5BMjE4MDYzNDE1OV5BMl5BanBnXkFtZTcwNDY2OTYwNA@@._V1_SX300.jpg","Horror, Mystery, Thriller"
"Blade: Trinity",2004,R,08 Dec 2004,"Wesley Snipes, Kris Kristofferson, Parker Posey","David S. Goyer","Blade finds himself alone surrounded by enemies, fighting an up hill battle with the vampire nation and now humans. He joins forces with a group of vampire hunters who call themselves the Nightstalkers. The vampire nation awakens the king of vampires Dracula from his slumber with intentions of using his primitive blood to become day-walkers. On the other side is Blade and his team manifesting a virus that could wipe out the vampire race once and for all. In the end the two sides will collide and only one will come out victorious, a battle between the ultimate vampire who never knew defeat, facing off against the greatest vampire slayer.",38,"https://m.media-amazon.com/images/M/MV5BMjE0Nzg2MzI3MF5BMl5BanBnXkFtZTYwMjExODQ3._V1_SX300.jpg","Action, Horror, Sci-Fi"
"The Bourne Identity",2002,PG-13,14 Jun 2002,"Franka Potente, Matt Damon, Chris Cooper","Doug Liman","When a body is recovered at sea still alive, the mystery man (Damon) seems to have forgotten everything in life, including who he was. Eventually he begins to remember smaller details in life and soon finds out that his name was Jason Bourne. What he doesn't like is the gun and fake passports belonging to him. Now Bourne, and his new friend, Marie Helena Kreutz (Potente) travel from country to country in search of his new identity. But someone is not happy to see him alive, and is frantically trying to track him down.",68,"https://m.media-amazon.com/images/M/MV5BM2JkNGU0ZGMtZjVjNS00NjgyLWEyOWYtZmRmZGQyN2IxZjA2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","Action, Mystery, Thriller"
"Ip Man",2008,R,12 Dec 2008,"Donnie Yen, Simon Yam, Siu-Wong Fan","Wilson Yip","In 1935 in Foshan, south China, there are martial arts schools on every street corner. Ip Man is the undisputed martial arts champion, yet he has not devoted himself to teaching. Despite this, it seems that all the kung fu masters of the city are eager to fight him to improve their reputation.",59,"https://m.media-amazon.com/images/M/MV5BNTFmMjM3M2UtOTIyZC00Zjk3LTkzODUtYTdhNGRmNzFhYzcyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg","Action, Biography, Drama"
"American Gangster",2007,R,02 Nov 2007,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor","Ridley Scott","Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. As a result, his product is superior to what is currently available on the street and his prices are lower. His alliance with the New York Mafia ensures his position. It is also the story of a dedicated and honest policeman, Richie Roberts, who heads up a joint narcotics task force with the Federal government. Based on a true story.",76,"https://m.media-amazon.com/images/M/MV5BMjFmZGI2YTEtYmJhMS00YTE5LWJjNjAtNDI5OGY5ZDhmNTRlXkEyXkFqcGdeQXVyODAwMTU1MTE@._V1_SX300.jpg","Biography, Crime, Drama"
"Public Enemies",2009,R,01 Jul 2009,"Christian Bale, Johnny Depp, Christian Stolte","Michael Mann","The difficult 1930s is a time of robbers who knock over banks and other rich targets with alarming frequency. Of them, none is more notorious than John Dillinger, whose gang plies its trade with cunning efficiency against big businesses while leaving ordinary citizens alone. As Dillinger becomes a folk hero, FBI head J. Edger Hoover is determined to stop his ilk by assigning ace agent Melvin Purvis to hunt down Dillinger. As Purvis struggles with the manhunt's realities, Dillinger himself faces an ominous future with the loss of friends, dwindling options and a changing world of organized crime with no room for him.",70,"https://m.media-amazon.com/images/M/MV5BMGI4YTIxMDQtNDlmNC00ZDJhLWIyZGItM2QyODRiMTEzN2ViXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Action, Biography, Crime"
"Julie & Julia",2009,PG-13,07 Aug 2009,"Amy Adams, Meryl Streep, Chris Messina","Nora Ephron","Julia Child and Julie Powell - both of whom wrote memoirs - find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible.",66,"https://m.media-amazon.com/images/M/MV5BMzA4NjA2NjI2NV5BMl5BanBnXkFtZTcwOTEzNzI2Mg@@._V1_SX300.jpg","Biography, Drama, Romance"
"1917",2019,R,10 Jan 2020,"Dean-Charles Chapman, George MacKay, Daniel Mays","Sam Mendes","April 1917, the Western Front. Two British soldiers are sent to deliver an urgent message to an isolated regiment. If the message is not received in time the regiment will walk into a trap and be massacred. To get to the regiment they will need to cross through enemy territory. Time is of the essence and the journey will be fraught with danger.",78,"https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg","Action, Drama, War"
"Saving Private Ryan",1998,R,24 Jul 1998,"Tom Hanks, Matt Damon, Tom Sizemore","Steven Spielberg","Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother...",91,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg","Drama, War"
"Sand Castle",2017,TV-MA,21 Apr 2017,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill","Fernando Coimbra","A soldier enlists just before the 9/11. He is not a brave man--simply volunteering to defend freedom. Arriving in Iraq in 2003, just after the occupation of Bagdad, with a few soldiers of his infantry platoon, he is sent to provide water to a village whose infrastructure was destroyed. Simple things however, such as water transportation, water distribution and the reconstruction of the plumbing became a challenge in war environment.",45,"https://m.media-amazon.com/images/M/MV5BNTQ2YWM1MmItMGVmZi00N2EzLWE4NDUtNTgzODVkNTZlMTBmXkEyXkFqcGdeQXVyMzI3MDEzMzM@._V1_SX300.jpg","Action, Drama, War"
"Hacksaw Ridge",2016,R,04 Nov 2016,"Andrew Garfield, Sam Worthington, Luke Bracey","Mel Gibson","The true story of Desmond T. Doss, the conscientious objector who, at the Battle of Okinawa, was awarded the Medal of Honor for his incredible bravery and regard for his fellow soldiers. We see his upbringing and how this shaped his views, especially his religious view and anti-killing stance. We see Doss's trials and tribulations after enlisting in the US Army and trying to become a medic. Finally, we see the hell on Earth that was Hacksaw Ridge.",71,"https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_SX300.jpg","Biography, Drama, History"
"The Thin Red Line",1998,R,15 Jan 1999,"Jim Caviezel, Sean Penn, Nick Nolte","Terrence Malick","U.S. Army Private Witt (AWOL) is found and imprisoned on a troop carrier by his company First Sergeant, Welsh.The men of C Company,1st Battalion,27th Infantry Regiment,25th Infantry Division have been brought to Guadalcanal as reinforcements in the campaign to secure Henderson Field and seize the island from the Japanese. They arrive near Hill 210, a key Japanese position. Their task is to capture the hill at all costs. What happens next is a story of redemption and the meaninglessness of war. Regardless of the outcome.",78,"https://m.media-amazon.com/images/M/MV5BYjEzMTM2NjAtNWFmZC00MTVlLTgyMmQtMGQyNTFjZDk5N2NmXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg","Drama, History, War"
"Troy",2004,R,14 May 2004,"Brad Pitt, Eric Bana, Orlando Bloom","Wolfgang Petersen","It is the year 1250 B.C. during the late Bronze age. Two emerging nations begin to clash after Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband, Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnon to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans. But they come to a stop by Hector, Prince of Troy. The whole movie shows their battle struggles and the foreshadowing of fate in this adaptation of Homer's classic ""The Iliad.""",56,"https://m.media-amazon.com/images/M/MV5BMTk5MzU1MDMwMF5BMl5BanBnXkFtZTcwNjczODMzMw@@._V1_SX300.jpg","Drama, History"
"Lincoln",2012,PG-13,16 Nov 2012,"Daniel Day-Lewis, Sally Field, David Strathairn","Steven Spielberg","In 1865, as the American Civil War winds inexorably toward conclusion, U.S. president Abraham Lincoln endeavors to achieve passage of the landmark constitutional amendment which will forever ban slavery from the United States. However, his task is a race against time, for peace may come at any time, and if it comes before the amendment is passed, the returning southern states will stop it before it can become law. Lincoln must, by almost any means possible, obtain enough votes from a recalcitrant Congress before peace arrives and it is too late. Yet the president is torn, as an early peace would save thousands of lives. As the nation confronts its conscience over the freedom of its entire population, Lincoln faces his own crisis of conscience -- end slavery or end the war.",86,"https://m.media-amazon.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg","Biography, Drama, History"
"The Hurt Locker",2008,R,31 Jul 2009,"Jeremy Renner, Anthony Mackie, Brian Geraghty","Kathryn Bigelow","An intense portrayal of elite soldiers who have one of the most dangerous jobs in the world: disarming bombs in the heat of combat. When a new sergeant, James, takes over a highly trained bomb disposal team amidst violent conflict, he surprises his two subordinates, Sanborn and Eldridge, by recklessly plunging them into a deadly game of urban combat, behaving as if he's indifferent to death. As the men struggle to control their wild new leader, the city explodes into chaos, and James' true character reveals itself in a way that will change each man forever.",95,"https://m.media-amazon.com/images/M/MV5BYWYxZjU2MmQtMmMzYi00ZWUwLTg2ZWQtMDExZTVlYjM3ZWM1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","Drama, Thriller, War"
"Lord of War",2005,R,16 Sep 2005,"Nicolas Cage, Ethan Hawke, Jared Leto","Andrew Niccol","This movie charts the rise and fall of Yuri Orlov, from his early days in the early 1980s in Little Odessa, selling guns to mobsters in his local neighborhood, through to his ascension through the decade of excess and indulgence into the early 1990s, where he forms a business partnership with an African warlord and his psychotic son. This movie also charts his relationship through the years with his younger brother, his marriage to a famous model, his relentless pursuit by a determined INTERPOL Agent and his inner demons that sway between his drive for success and the immorality of what he does.",62,"https://m.media-amazon.com/images/M/MV5BMTYzZWE3MDAtZjZkMi00MzhlLTlhZDUtNmI2Zjg3OWVlZWI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg","Crime, Drama"
"Blood Diamond",2006,R,08 Dec 2006,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly","Edward Zwick","A story following Archer, a man tortured by his roots. With a strong survival instinct, he has made himself a key player in the business of conflict diamonds. Political unrest is rampant in Sierra Leone as people fight tooth for tooth. Upon meeting Solomon, and the beautiful Maddy, Archer's life changes forever as he is given a chance to make peace with the war around him.",64,"https://m.media-amazon.com/images/M/MV5BZDMxOGZhNWYtMzRlYy00Mzk5LWJjMjEtNmQ4NDU4M2QxM2UzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg","Adventure, Drama, Thriller"
"Rambo",2008,R,25 Jan 2008,"Sylvester Stallone, Julie Benz, Matthew Marsden","Sylvester Stallone","Vietnam veteran John Rambo has survived many harrowing ordeals in his lifetime and has since withdrawn into a simple and secluded existence in Thailand, where he spends his time capturing snakes for local entertainers, and chauffeuring locals in his old PT boat. Even though he is looking to avoid trouble, trouble has a way of finding him: a group of Christian human rights missionaries, led by Michael Burnett and Sarah Miller, approach Rambo with the desire to rent his boat to travel up the river to Burma. For over fifty years, Burma has been a war zone. The Karen people of the region, who consist of peasants and farmers, have endured brutally oppressive rule from the murderous Burmese military and have been struggling for survival every single day. After some inner contemplation, Rambo accepts the offer and takes Michael, Sarah, and the rest of the missionaries up the river. When the missionaries finally arrive at the Karen village, they find themselves part of a raid by the sadistic Major Pa Tee Tint and a slew of Burmese army men. A portion of the villagers and missionaries are tortured and viciously murdered, while Tint and his men hold the remainder captive. Concerned by their disappearance, the minister in charge of the mission gathers a group of mercenaries and pleas Rambo transport them with his boat, since he knows their last exact location. But Rambo can't stay behind: he joins the team where he belongs, to liberate the survivors from the clutches of Major Tint in what may be one of his deadliest missions ever",46,"https://m.media-amazon.com/images/M/MV5BMTI5Mjg1MzM4NF5BMl5BanBnXkFtZTcwNTAyNzUzMw@@._V1_SX300.jpg","Action, Adventure, Thriller"
"Jarhead",2005,R,04 Nov 2005,"Jake Gyllenhaal, Jamie Foxx, Lucas Black","Sam Mendes","Anthony ""Swoff"" Swofford, a Camus-reading kid from Sacramento, enlists in the Marines in the late 1980s. He malingers during boot camp, but makes it through as a sniper, paired with the usually-reliable Troy. The Gulf War breaks out, and his unit goes to Saudi Arabia for Desert Shield. After 175 days of boredom, adrenaline, heat, worry about his girlfriend finding someone else, losing it and nearly killing a mate, demotion, latrine cleaning, faulty gas masks, and desert football, Desert Storm begins. In less than five days, it's over, but not before Swoff sees burned bodies, flaming oil derricks, an oil-drenched horse, and maybe a chance at killing. Where does all the testosterone go?",58,"https://m.media-amazon.com/images/M/MV5BYmMyNGM4NWItYjgwYS00N2Q2LWJmY2YtY2ViNWYwMzRhODlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Biography, Drama, War"
"The Outpost",2019,R,03 Jul 2020,"Scott Eastwood, Caleb Landry Jones, Orlando Bloom","Rod Lurie","During the Afghanistan war, several outposts were placed to control the Taliban movement and their supply chain. Camp Keating, situated in a valley surrounded by mountains, was one them. While being shot at by the Talibans was business as usual, they tried to gain respect from local village elders and have them help stop these skirmishes. One day, when 400 Talibans rallied for a surprise attack, it was up to them to leverage the poor defenses and lack of ammo and manpower they had, to ultimately survive and go back to their loved ones.",71,"https://m.media-amazon.com/images/M/MV5BNWYyMzNjY2EtODVmYi00ODBmLWIyNGMtNDdhMGViY2RhNjcxXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg","Action, Drama, History"
"War Dogs",2016,R,19 Aug 2016,"Jonah Hill, Miles Teller, Steve Lantz","Todd Phillips","In 2005, David Packouz lives in Miami, Florida, working as a massage therapist and living with his girlfriend Iz. Desiring an additional source of income, David spends his life savings on high-quality Egyptian cotton sheets, planning to sell them to Miami retirement homes, but this venture fails to produce results. At a funeral for a friend, David runs into his high school best friend Efraim Diveroli, who had moved to Los Angeles some years prior to work with his uncle selling guns. Efraim has left his uncle and formed his own company, AEY, which fills orders for arms placed by the US government due to the ongoing war in Iraq. David's life takes another turn when his girlfriend informs him that she is pregnant. Efraim offers him a job at AEY, and even though David and Iz both vehemently oppose the war, David eventually agrees, telling his girlfriend that he has begun selling his cotton sheets to the US government through Efraim's contacts.",57,"https://m.media-amazon.com/images/M/MV5BMjEyNzQ0NzM4MV5BMl5BanBnXkFtZTgwMDI0ODM2OTE@._V1_SX300.jpg","Biography, Comedy, Crime"
"Zero Dark Thirty",2012,R,11 Jan 2013,"Jessica Chastain, Joel Edgerton, Chris Pratt","Kathryn Bigelow","Maya is a CIA operative whose first experience is in the interrogation of prisoners following the Al Qaeda attacks against the U.S. on the 11th September 2001. She is a reluctant participant in extreme duress applied to the detainees, but believes that the truth may only be obtained through such tactics. For several years, she is single-minded in her pursuit of leads to uncover the whereabouts of Al Qaeda's leader, Osama Bin Laden. Finally, in 2011, it appears that her work will pay off, and a U.S. Navy SEAL team is sent to kill or capture Bin Laden. But only Maya is confident Bin Laden is where she says he is.",95,"https://m.media-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg","Drama, History, Thriller"
"The Matrix",1999,R,31 Mar 1999,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski","Thomas A. Anderson is a man living two lives. By day he is an average computer programmer and by night a hacker known as Neo. Neo has always questioned his reality, but the truth is far beyond his imagination. Neo finds himself targeted by the police when he is contacted by Morpheus, a legendary computer hacker branded a terrorist by the government. As a rebel against the machines, Neo must confront the agents: super-powerful computer programs devoted to stopping Neo and the entire human rebellion.",73,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Action, Sci-Fi"
"The Matrix Reloaded",2003,R,15 May 2003,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski","In this second adventure, Neo and the rebel leaders estimate that they have 72 hours until Zion falls under siege to the Machine Army. Only a matter of hours separates the last human enclave on Earth from 250,000 Sentinels programmed to destroy mankind. But the citizens of Zion, emboldened by Morpheus conviction that the One will fulfill the Oracles Prophecy and end the war with the Machines, rest all manner of hope and expectation on Neo, who finds himself stalled by disturbing visions as he searches for a course of action.",62,"https://m.media-amazon.com/images/M/MV5BODE0MzZhZTgtYzkwYi00YmI5LThlZWYtOWRmNWE5ODk0NzMxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Action, Sci-Fi"
"The Matrix Revolutions",2003,R,05 Nov 2003,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","Lana Wachowski, Lilly Wachowski","Neo finds himself trapped between the Matrix and the Real World. Meanwhile, Zion is preparing for the oncoming war with the machines with very little chances of survival. Neo's associates set out to free him from The Merovingian since it's believed that he is the One who will end the war between humans and the machines. What they do not know is that there is a threat from a third party, someone who has plans to destroy both worlds.",47,"https://m.media-amazon.com/images/M/MV5BNzNlZTZjMDctZjYwNi00NzljLWIwN2QtZWZmYmJiYzQ0MTk2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg","Action, Sci-Fi"
"Star Wars: Episode IV: A New Hope - Deleted Scenes",2011,N/A,16 Sep 2011,"Ronn Brown, Anthony Daniels, Carrie Fisher, Harrison Ford","George Lucas","Deleted scenes from Star Wars: Episode IV - A New Hope (1977).",N/A,"https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg","Short, Action, Drama, Sci-Fi"
